Square footage,borough,% of total sq footage,each square represents,# of squares needed,width needed,width divided by pixel size - # of COLUMNS,# of ROWS,# of squares horiz
"234,469,757",staten island,7.26%,"250,000",938,76.99,12.83,73.08999679,12.83183841
"1,021,431,731",brooklyn,31.64%,"250,000","4,086",335.40,55.90,73.08999679,55.89994669
"856,664,063",manhattan,26.54%,"250,000","3,427",281.30,46.88,73.08999679,46.88269808
"863,779,558",queens,26.76%,"250,000","3,455",283.63,47.27,73.08999679,47.27210814
"251,796,416",bronx,7.80%,"250,000","1,007",82.68,13.78,73.08999679,13.78007536
"3,228,141,525",total,100.00%,,"12,913","1,060.00",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,"1,060",width total,,,
