1,George Washington,"Thursday, April 30, 1789"
2,George Washington,"Monday, March 4, 1793"
3,John Adams,"Saturday, March 4, 179"
4,Thomas Jefferson,"Wednesday, March 4, 1801"
5,Thomas Jefferson,"Monday, March 4, 1805"
6,James Madison,"Saturday, March 4, 1809"
7,James Madison,"Thursday, March 4, 1813"
8,James Monroe,"Tuesday, March 4, 1817"
9,James Monroe,"Monday, March 5, 1821"
10,John Quincy Adams,"Friday, March 4, 1825"
11,Andrew Jackson,"Wednesday, March 4, 1829"
12,Andrew Jackson,"Monday, March 4, 1833"
13,Martin Van Buren,"Monday, March 4, 1837"
14,William Henry Harrison,"Thursday, March 4, 1841"
15,James Knox Polk,"Tuesday, March 4, 1845"
16,Zachary Taylor,"Monday, March 5, 1849"
17,Franklin Pierce,"Friday, March 4, 1853"
18,James Buchanan,"Wednesday, March 4, 1857"
19,Abraham Lincoln,"Monday, March 4, 1861"
20,Abraham Lincoln,"Saturday, March 4, 1865"
21,Ulysses S. Grant,"Thursday, March 4, 1869"
22,Ulysses S. Grant,"Tuesday, March 4, 1873"
23,Rutherford B. Hayes,"Monday, March 5, 1877"
24,James A. Garfield,"Friday, March 4, 1881"
25,Grover Cleveland,"Wednesday, March 4, 1885"
26,Benjamin Harrison,"Monday, March 4, 1889"
27,Grover Cleveland,"Saturday, March 4, 1893"
28,William McKinley,"Thursday, March 4, 1897"
29,William McKinley,"Monday, March 4, 1901"
30,Theodore Roosevelt,"Saturday, March 4, 1905"
31,William Howard Taft,"Thursday, March 4, 1909"
32,Woodrow Wilson,"Tuesday, March 4, 1913"
33,Woodrow Wilson,"Monday, March 5, 1917"
34,Warren G. Harding,"Friday, March 4, 1921"
35,Calvin Coolidge,"Wednesday, March 4, 1925"
36,Herbert Hoover,"Monday, March 4, 1929"
37,Franklin D. Roosevelt,"Saturday, March 4, 1933"
38,Franklin D. Roosevelt,"Wednesday, January 20, 1937"
39,Franklin D. Roosevelt,"Monday, January 20, 1941"
40,Franklin D. Roosevelt,"Saturday, January 20, 1945"
41,Harry S. Truman,"Thursday, January 20, 1949"
42,Dwight D. Eisenhower,"Tuesday, January 20, 1953"
43,Dwight D. Eisenhower,"Monday, January 21, 1957"
44,John F. Kennedy,"Friday, January 20, 1961"
45,Lyndon Baines Johnson,"Wednesday, January 20, 1965"
46,Richard Milhous Nixon,"Monday, January 20, 1969"
47,Richard Milhous Nixon,"Saturday, January 20, 1973"
48,Jimmy Carter,"Thursday, January 20, 1977"
49,Ronald Reagan,"Tuesday, January 20, 1981"
50,Ronald Reagan,"Monday, January 21, 1985"
51,George Bush,"Friday, January 20, 1989"
52,Bill Clinton,"Wednesday, January 21, 1993"
53,Bill Clinton,"Monday,æ20 January 1997æ"
54,George W. Bush,"Saturday, January 20, 2001"
55,George W. Bush,"Thursday, January 20, 2005"
56,Barack Obama,"Tuesday, January 20, 2009"
57,Barack Obama,"Monday, January 21, 2013"
58,Donald J. Trump,"Friday, January 20, 2017"
