FID,tree_id,block_id,status,health,spc_common,NoDamage,address,zipcode,zip_city,boroname,nta_name,boro_ct
209478,249342,335556,Alive,Poor, , ,119-33 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209508,249396,335556,Alive,Good, ,NoDamage,119-24 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209509,249397,335557,Alive,Fair,Ginkgo,NoDamage,119-24 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209510,249398,335557,Alive,Fair,Ginkgo, ,119-27 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209511,249399,335557,Alive,Good, ,NoDamage,119-32 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209512,249400,335557,Stump, ,Sawtooth Oak,NoDamage,119-32 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209513,249401,335557,Alive,Fair,Sawtooth Oak,NoDamage,119-36 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209514,249402,335557,Alive,Fair,Sawtooth Oak,NoDamage,119-36 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209515,249403,335558,Alive,Good,Sawtooth Oak, ,119-33 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209516,249404,335558,Alive,Fair, , ,119-33 SPRINGFIELD BOULEVARD,11411,Cambria Heights,Queens,Cambria Heights,4061000
209517,249405,335559,Alive,Good,Norway Maple,NoDamage,220-22 120 AVENUE,11411,Cambria Heights,Queens,Cambria Heights,4061000
209551,249439,335559,Alive,Fair,Cherry,Damage,221-10 120 AVENUE,11411,Cambria Heights,Queens,Cambria Heights,4061000
209552,249440,335559,Alive,Good,Norway Maple,NoDamage,120-04 222 STREET,11411,Cambria Heights,Queens,Cambria Heights,4061000
